time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
62.33211,0.000445779,30944.1062,80703.2753,6301.588,199.0592481,1.253571207,1000,0.306491077,0.013676373,0
62.44125,0.000891558,30944.46978,80703.01737,5301.123838,235.4822349,3.406310372,1000,0.347474326,0,0
62.5504,0.001337336,30944.83337,80702.75945,4600.846556,284.3316789,1.771388245,1000,0.380053324,0.01932572,0
62.65955,0.001783115,30945.19695,80702.50152,5751.322804,221.3077633,3.115196703,1000,0.348871381,0.037762937,0
62.76871,0.002228894,30945.56053,80702.24359,6251.562891,205.5583514,1.264443263,1000,0.242892765,0.013794986,0
62.87791,0.002674673,30945.92411,80701.98567,6301.588,203.1917892,2.507162472,1000,0.27208303,0.020514642,0
62.98705,0.003120451,30946.2877,80701.72774,5401.166652,240.8218062,2.22466202,1000,0.358909257,0.016180539,0
63.0962,0.00356623,30946.65128,80701.46981,7102.016973,178.0913789,1.652955078,1000,0.269424373,0.156305778,0
63.20534,0.004012009,30947.01486,80701.21189,6001.440346,211.3393436,2.313093543,1000,0.362742467,0.194693599,0
63.31453,0.004457788,30947.37845,80700.95396,6001.440346,214.3708388,2.313093543,1000,0.276988932,0.057682608,0
63.42368,0.004903566,30947.74203,80700.69603,6051.464454,222.0914179,1.309884627,1000,0.30718512,0.028581726,0
63.53283,0.005349345,30948.10561,80700.4381,6251.562891,207.4320143,0.948330551,1000,0.328080675,0.03448788,0
63.64199,0.005795124,30948.46919,80700.18018,6401.63882,200.1100194,2.156675096,1000,0.375117652,0.020167822,0
63.75112,0.006240903,30948.83278,80699.92225,4800.921777,272.8502415,0.422322099,1000,0.450962834,0.027645302,0
63.86031,0.006686681,30949.19636,80699.66432,5951.416437,221.6885776,2.334255401,1000,0.329447739,0.007276088,0
63.96947,0.00713246,30949.55994,80699.4064,5851.36922,217.7022656,4.415896943,1000,0.35254053,0.014823463,0
64.07861,0.007578239,30949.92352,80699.14847,6551.71655,194.3567519,2.103336168,1000,0.323849499,0.019669031,0
64.18775,0.008024018,30950.28711,80698.89054,5951.416437,216.9695483,4.001620705,1000,0.339433041,0.029104699,0
64.29695,0.008469797,30950.65069,80698.63262,6301.588,202.4130176,1.566967143,1000,0.275210972,0.006838159,0
64.4061,0.008915575,30951.01427,80698.37469,5801.345912,221.191792,1.371494198,1000,0.283989175,0.044889432,0
64.51523,0.009361354,30951.37786,80698.11676,6201.537981,196.3915931,2.232148032,1000,0.289574557,0,0
64.62438,0.009807133,30951.74144,80697.85884,6201.537981,204.8577009,1.913265915,1000,0.299122766,0.034789604,0
64.73353,0.010252912,30952.10502,80697.60091,6001.440346,217.9722727,3.96534287,1000,0.306671839,0.014420306,0
64.84273,0.01069869,30952.4686,80697.34298,6001.440346,211.5919232,1.652203064,1000,0.303373685,0.021630545,0
64.95188,0.011144469,30952.83219,80697.08506,7152.045485,178.9507597,1.367125788,1000,0.248299392,0.005966062,0
65.06103,0.011590248,30953.19577,80696.82713,5351.145145,241.4349398,1.872932637,1000,0.388769851,0.016346817,0
65.17018,0.012036027,30953.55935,80696.5692,4950.980294,265.0896641,2.040698811,1000,0.358413835,0.008905498,0
65.27924,0.012481805,30953.92294,80696.31128,5251.102732,243.7970384,3.824507009,1000,0.351120031,0.033379947,0
65.38832,0.012927584,30954.28652,80696.05335,5351.145145,238.285331,2.62211618,1000,0.355119913,0.016346817,0
65.49747,0.013373363,30954.6501,80695.79542,5951.416437,218.372207,2.334255401,1000,0.266210277,0.03638102,0
65.60662,0.013819142,30955.01368,80695.53749,6551.71655,201.5973257,1.802855967,1000,0.308853377,0.019669031,0
65.71578,0.01426492,30955.37727,80695.27957,5501.210266,243.3174889,1.090146431,1000,0.337245216,0.031716105,0
65.82476,0.014710699,30955.74085,80695.02164,5701.299896,227.102934,1.747242889,1000,0.32431255,0.007624873,0
65.93391,0.015156478,30956.10443,80694.76371,5801.345912,221.5194747,2.743010341,1000,0.314788849,0.007481422,0
66.04315,0.015602257,30956.46802,80694.50579,6501.69044,200.3171479,0.908915712,1000,0.299324337,0.026443481,0
66.15227,0.016048036,30956.8316,80694.24786,6251.562891,213.4793016,1.896672482,1000,0.337546566,0,0
66.26142,0.016493814,30957.19518,80693.98993,5651.277189,238.4122655,2.116991356,1000,0.338016838,0.046193006,0
66.37054,0.016939593,30957.55876,80693.73201,5351.145145,236.5678363,1.872932637,1000,0.299039375,0.024520324,0
66.47968,0.017385372,30957.92235,80693.47408,5801.345912,219.2914945,2.057249526,1000,0.338744918,0,0
66.58884,0.017831151,30958.28593,80693.21615,6151.513272,208.8178381,3.860350696,1000,0.28570872,0.014038493,0
66.69805,0.018276929,30958.64951,80692.95823,6451.664529,200.126606,1.833079871,1000,0.323179614,0.006666204,0
66.80716,0.018722708,30959.01309,80692.7003,5601.254681,229.8399337,2.493969337,1000,0.298648494,0.023321978,0
66.91638,0.019168487,30959.37668,80692.44237,6301.588,206.5474363,0.940176525,1000,0.231420927,0.034191343,0
67.02546,0.019614266,30959.74026,80692.18445,5851.36922,219.9096083,3.057134965,1000,0.301684286,0.037059103,0
67.13461,0.020060044,30960.10384,80691.92652,5851.36922,220.039471,2.377762128,1000,0.305074607,0.044471101,0
67.24375,0.020505823,30960.46743,80691.66859,5651.277189,225.8619152,2.822666433,1000,0.323930211,0.023096226,0
67.35286,0.020951602,30960.83101,80691.41067,4900.960588,270.7745982,2.476572553,1000,0.325395389,0.027019231,0
67.462,0.021397381,30961.19459,80691.15274,5651.277189,227.7500046,2.116991356,1000,0.338016838,0.00769868,0
67.57104,0.021843159,30961.55817,80690.89481,5051.020306,254.70566,1.996001852,1000,0.370485669,0.017420956,0
67.68015,0.022288938,30961.92176,80690.63688,6001.440346,221.5753726,1.982647643,1000,0.319864585,0.007210124,0
67.78917,0.022734717,30962.28534,80690.37896,5951.416437,218.9460941,2.667725794,1000,0.312805836,0.021828437,0
67.89832,0.023180496,30962.64892,80690.12103,7001.960549,182.6431966,3.076964857,1000,0.270768025,0.012206909,0
68.00746,0.023626275,30963.01251,80689.8631,5601.254681,225.9592733,3.919126027,1000,0.348433001,0.015547923,0
68.11661,0.024072053,30963.37609,80689.60518,5651.277189,225.9293395,2.469828189,1000,0.28871463,0.00769868,0
68.22575,0.024517832,30963.73967,80689.34725,5701.299896,227.5705847,2.09669566,1000,0.338264184,0.030499857,0
68.33494,0.024963611,30964.10325,80689.08932,6451.664529,202.69749,0.611021735,1000,0.307932213,0.039998023,0
68.44408,0.02540939,30964.46684,80688.8314,5451.188359,239.5897758,1.835213582,1000,0.285690442,0.032035473,0
68.55322,0.025855168,30964.83042,80688.57347,5351.145145,240.2894974,3.371305717,1000,0.403725768,0.049041236,0
68.66237,0.026300947,30965.194,80688.31554,5601.254681,232.0193365,2.850256372,1000,0.419558562,0.031096095,0
68.77152,0.026746726,30965.55759,80688.05762,6451.664529,200.0681875,1.527563504,1000,0.301833338,0.019998772,0
68.8807,0.027192505,30965.92117,80687.79969,5401.166652,250.1122162,2.966227892,1000,0.399619101,0.024270905,0
68.98987,0.027638283,30966.28475,80687.54176,5451.188359,235.3100125,0.734081028,1000,0.340641133,0.016017608,0
69.09899,0.028084062,30966.64833,80687.28384,5751.322804,227.5274295,2.076785341,1000,0.341961668,0.037762937,0
69.20815,0.028529841,30967.01192,80687.02591,5101.040612,254.436726,1.579500465,1000,0.350707212,0.008616085,0
69.31734,0.02897562,30967.3755,80686.76798,5501.210266,228.5903429,1.816917985,1000,0.293722654,0.03964529,0
69.42647,0.029421398,30967.73908,80686.51006,6351.61331,198.9059075,1.553608704,1000,0.232549172,0.013559782,0
69.53561,0.029867177,30968.10266,80686.25213,5801.345912,219.946719,1.371494198,1000,0.304522168,0.029926049,0
69.64476,0.030312956,30968.46625,80685.9942,5701.299896,219.8243698,1.747242889,1000,0.313848972,0.015249806,0
69.75391,0.030758735,30968.82983,80685.73628,5401.166652,236.1448804,1.112324336,1000,0.355208451,0.024270905,0
69.86309,0.031204514,30969.19341,80685.47835,6001.440346,220.3741542,1.321759808,1000,0.349549035,0.014420306,0
69.97225,0.031650292,30969.557,80685.22042,5251.102732,245.6971942,2.677138843,1000,0.31676563,0.066760962,0
70.0814,0.032096071,30969.92058,80684.96249,6351.61331,201.8753708,2.485788841,1000,0.381417263,0.020339754,0
70.19053,0.03254185,30970.28416,80684.70457,5851.36922,217.2478882,2.717447867,1000,0.301684286,0.014823463,0
70.29966,0.032987629,30970.64774,80684.44664,5751.322804,222.366095,3.115196703,1000,0.317778111,0.030210229,0
