time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,,,,,,,,,,,,,,
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,,,,,,,,,,,,,,
62.6581,0.000444372,78402.6173,64997.2816,7102.016973,204.0970241,1.407289682,1000,0.391167607,0.036392078,0,,,,,,,,,,,,,,
62.76725,0.000888743,78402.42011,64996.88338,5651.277189,266.7862045,2.53102139,1000,0.491702174,0.031166975,0,,,,,,,,,,,,,,
62.87644,0.001333115,78402.22291,64996.48515,6401.63882,223.4071643,1.891034711,1000,0.447444486,0.006791736,0,,,,,,,,,,,,,,
62.98558,0.001777487,78402.02572,64996.08693,5501.210266,269.0159762,0.745079844,1000,0.579008257,0.008028027,0,,,,,,,,,,,,,,
63.09466,0.002221858,78401.82853,64995.68871,6201.537981,229.9016727,1.631699944,1000,0.526712369,0.035162574,0,,,,,,,,,,,,,,
63.2038,0.00266623,78401.63134,64995.29049,5701.299896,257.5392912,1.074172061,1000,0.508330436,0.007715921,0,,,,,,,,,,,,,,
63.31299,0.003110602,78401.43414,64994.89226,5951.416437,241.7210824,2.731732663,1000,0.489875678,0.022075154,0,,,,,,,,,,,,,,
63.42214,0.003554974,78401.23695,64994.49404,6001.440346,238.0910645,2.368309155,1000,0.515718894,0.021872416,0,,,,,,,,,,,,,,
63.53134,0.003999345,78401.03976,64994.09582,6401.63882,229.8591338,2.5213897,1000,0.499264833,0.033959224,0,,,,,,,,,,,,,,
63.64049,0.004443717,78400.84257,64993.6976,5651.277189,266.8547957,1.80786519,1000,0.453872575,0.046750837,0,,,,,,,,,,,,,,
63.74965,0.004888089,78400.64537,64993.29937,5401.166652,273.4157911,4.182604447,1000,0.608010773,0.049163439,0,,,,,,,,,,,,,,
63.85875,0.00533246,78400.44818,64992.90115,6251.562891,244.1999234,1.293895065,1000,0.546263507,0.027882939,0,,,,,,,,,,,,,,
63.96791,0.005776832,78400.25099,64992.50293,6151.513272,238.3210072,1.317024474,1000,0.452676675,0.014190571,0,,,,,,,,,,,,,,
64.07706,0.006221204,78400.0538,64992.10471,6801.850103,220.2261748,0.589959148,1000,0.432007618,0.012713341,0,,,,,,,,,,,,,,
64.1862,0.006665575,78399.8566,64991.70648,5901.392729,248.4894334,3.446626558,1000,0.479004145,0.044563905,0,,,,,,,,,,,,,,
64.29543,0.007109947,78399.65941,64991.30826,5501.210266,271.9120474,4.098012909,1000,0.551165808,0.016056119,0,,,,,,,,,,,,,,
64.40461,0.007554319,78399.46222,64990.91004,6701.796081,222.1041414,1.498912774,1000,0.470405636,0.032301056,0,,,,,,,,,,,,,,
64.5137,0.007998691,78399.26503,64990.51181,5201.081825,286.8434835,2.379638002,1000,0.616407775,0.025639935,0,,,,,,,,,,,,,,
64.62284,0.008443062,78399.06783,64990.11359,6601.74286,227.3980404,1.828459278,1000,0.532851658,0.01313404,0,,,,,,,,,,,,,,
64.73206,0.008887434,78398.87064,64989.71537,6351.61331,230.9987983,0.635779382,1000,0.536835596,0.02740171,0,,,,,,,,,,,,,,
64.84117,0.009331806,78398.67345,64989.31715,7802.43436,180.9036276,0.762772225,1000,0.387569667,0.02191664,0,,,,,,,,,,,,,,
64.9504,0.009776177,78398.47626,64988.91892,5101.040612,283.7849178,2.026662656,1000,0.611795418,0.034938969,0,,,,,,,,,,,,,,
65.05954,0.010220549,78398.27906,64988.5207,5851.36922,250.7042952,4.52295714,1000,0.337930693,0.059980176,0,,,,,,,,,,,,,,
65.1687,0.010664921,78398.08187,64988.12248,5101.040612,292.847876,2.432000051,1000,0.642088743,0.008734637,0,,,,,,,,,,,,,,
65.27784,0.011109292,78397.88468,64987.72426,6001.440346,243.9251919,1.69164263,1000,0.429751131,0.014581553,0,,,,,,,,,,,,,,
65.38696,0.011553664,78397.68748,64987.32603,5451.188359,259.5725181,2.634445906,1000,0.618676184,0.024330311,0,,,,,,,,,,,,,,
65.49617,0.011998036,78397.49029,64986.92781,6901.904926,207.9999344,0.8709909,1000,0.325391468,0.01876948,0,,,,,,,,,,,,,,
65.60525,0.012442408,78397.2931,64986.52959,5851.36922,264.4337104,0.695824251,1000,0.566733657,0.014994684,0,,,,,,,,,,,,,,
65.71446,0.012886779,78397.09591,64986.13137,7102.016973,209.2753635,1.970213436,1000,0.412202247,0.018195821,0,,,,,,,,,,,,,,
