Specimen,Peak_mm,spike_date,caliper size,method,estimated start size (1 mm below april size),Peak_mm,Adjusted caliper size
G003_1,1.64,04/04/2020,15.16923077,interpolated,14,1.64,1.169230769
G003_1,4.76,22/04/2020,16.08307692,interpolated,14,4.76,2.083076923
G003_1,6.01,14/05/2020,17.09197567,interpolated,14,6.01,3.091975668
G003_2,1.84,04/04/2020,15.16923077,interpolated,14,1.84,1.169230769
G003_2,4.84,22/04/2020,16.08307692,interpolated,14,4.84,2.083076923
G003_2,6.04,14/05/2020,17.09197567,interpolated,14,6.04,3.091975668
G003_3,1.72,04/04/2020,15.16923077,interpolated,14,1.72,1.169230769
G003_3,4.73,22/04/2020,16.08307692,interpolated,14,4.73,2.083076923
G003_3,6.25,14/05/2020,17.09197567,interpolated,14,6.25,3.091975668
G511_1,2.63,04/04/2020,15.16923077,interpolated,14,2.63,1.169230769
G511_1,4.57,22/04/2020,16.08307692,interpolated,14,4.57,2.083076923
G511_1,5.83,14/05/2020,17.09197567,interpolated,14,5.83,3.091975668
G511_2,2.57,04/04/2020,15.16923077,interpolated,14,2.57,1.169230769
G511_2,3.91,22/04/2020,16.08307692,interpolated,14,3.91,2.083076923
G511_2,5.83,14/05/2020,17.09197567,interpolated,14,5.83,3.091975668
G511_3,2.27,04/04/2020,15.16923077,interpolated,14,2.27,1.169230769
G511_3,3.13,22/04/2020,16.08307692,interpolated,14,3.13,2.083076923
G511_3,5.62,14/05/2020,17.09197567,interpolated,14,5.62,3.091975668
G600_1,1.08,04/04/2020,15.16923077,interpolated,14,1.08,1.169230769
G600_1,3.08,22/04/2020,16.08307692,interpolated,14,3.08,2.083076923
G600_1,7.26,14/05/2020,17.09197567,interpolated,14,7.26,3.091975668
G600_2,1.13,04/04/2020,15.16923077,interpolated,14,1.13,1.169230769
G600_2,3.16,22/04/2020,16.08307692,interpolated,14,3.16,2.083076923
G600_2,7.27,14/05/2020,17.09197567,interpolated,14,7.27,3.091975668
G600_3,1.07,04/04/2020,15.16923077,interpolated,14,1.07,1.169230769
G600_3,3.15,22/04/2020,16.08307692,interpolated,14,3.15,2.083076923
G003_1,6.91,04/06/2020,17.98362867,real,14,6.91,3.98362867
G003_2,6.47,04/06/2020,17.98362867,real,14,6.47,3.98362867
G003_3,6.07,04/06/2020,17.98362867,real,14,6.07,3.98362867
