depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peak
0.0,0.048754763,62.11364,8625.9071,41161.1015,5551.232374,458.5288712,1.874287641,1000,0.308624109,0.048754763,0.0,interval 0
0.439044,0.034629018,62.2228,8625.9071,41161.1015,5251.102732,497.400198,2.396272571,1000,0.372987534,0.034629018,0.0,interval 0
0.878088,0.031224825,62.33201,8626.305401,41160.9168,5751.322804,431.9399421,1.800586292,1000,0.393859987,0.031224825,0.0,interval 0
1.317132,0.0,62.4412,8626.703702,41160.73209,5601.254681,459.1029075,0.371057533,1000,0.405828604,0.0,0.0,interval 0
1.756175,0.022966963,62.55036,8627.102003,41160.54739,5851.36922,438.3826555,1.765866879,1000,0.334176709,0.022966963,0.0,interval 0
2.195219,0.013843112,62.65943,8627.500304,41160.36268,6401.63882,393.9630523,1.277233303,1000,0.345303385,0.013843112,0.0,interval 0
2.634263,0.035400895,62.76857,8627.898606,41160.17798,5151.061119,497.9235282,2.85797179,1000,0.426463171,0.035400895,0.0,interval 0
3.073307,0.029214418,62.87774,8628.296907,41159.99327,6101.488763,413.9501641,1.010789391,1000,0.314667128,0.029214418,0.0,interval 0
3.512351,0.090309647,62.98691,8628.695208,41159.80857,5501.210266,475.1767716,2.272402855,1000,0.330433324,0.090309647,0.0,interval 0
3.9513949999999998,0.064095304,63.09615,8629.093509,41159.62386,5001.0002,516.0269094,2.534422324,1000,0.399682458,0.064095304,0.0,interval 0
4.390439000000001,0.089984186,63.20526,8629.49181,41159.43916,6401.63882,390.4705572,3.831761218,1000,0.325680617,0.089984186,0.0,interval 0
4.8294820000000005,0.09285908,63.31442,8629.890111,41159.25446,6651.769371,371.4013378,2.753777582,1000,0.233108994,0.09285908,0.0,interval 0
5.268526,0.112758807,63.42362,8630.288412,41159.06975,6651.769371,372.4100234,2.14181844,1000,0.330881587,0.112758807,0.0,interval 0
5.7075700000000005,0.056304625,63.53269,8630.686713,41158.88505,5601.254681,455.4946211,1.113177052,1000,0.314618578,0.056304625,0.0,interval 0
6.146614,0.027212023,63.6419,8631.085014,41158.70034,6501.69044,385.6319527,1.25534722,1000,0.281528018,0.027212023,0.0,interval 0
6.5856580000000005,0.007510767,63.75104,8631.483316,41158.51564,5951.416437,428.0432155,1.732460813,1000,0.370440832,0.007510767,0.0,interval 0
