depth,proxy_filtered,time,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca,peakID_1,peakID_2,peakID_3,peakID_4
0.0,0.021329056,62.11345,8647.5763,63805.3134,9753.803984,288.8476444,1.18812381,0.206570921,0.021329056,0.0,interval 7,interval 7,interval 7,interval 7
0.438999,0.017606319,62.2225,8647.5763,63805.3134,7202.074197,393.5035006,2.996792227,0.33420644,0.017606319,0.0,interval 7,interval 7,interval 7,interval 7
0.877998,0.028158919,62.33159,8647.82194,63804.94956,8903.169528,313.2176082,1.307142852,0.239892597,0.028158919,0.0,interval 7,interval 7,interval 7,interval 7
1.3169970000000002,0.034691934,62.4408,8648.06758,63804.58572,8452.857066,335.6811791,1.610403554,0.264440099,0.034691934,0.0,interval 7,interval 7,interval 7,interval 7
1.755995,0.00853152,62.54987,8648.31322,63804.22187,9753.803984,286.2868108,1.584171417,0.221876021,0.00853152,0.0,interval 7,interval 7,interval 7,interval 7
2.194994,0.018235213,62.65902,8648.55886,63803.85803,9153.350126,308.2160255,1.904611954,0.206448468,0.018235213,0.0,interval 7,interval 7,interval 7,interval 7
2.633993,0.033023329,62.76813,8648.8045,63803.49419,7652.341617,366.0733995,1.532949784,0.306018192,0.033023329,0.0,interval 7,interval 7,interval 7,interval 7
3.072992,0.014332649,62.87718,8649.05014,63803.13035,8753.063572,320.9956485,1.552445698,0.21421286,0.014332649,0.0,interval 7,interval 7,interval 7,interval 7
3.511991,0.015247212,62.98629,8649.29578,63802.76651,8252.723399,339.5854608,0.471854372,0.241557525,0.015247212,0.0,interval 7,interval 7,interval 7,interval 7
3.9509899999999996,0.038527371,63.09544,8649.54142,63802.40266,7652.341617,365.8078527,1.277455598,0.286270501,0.038527371,0.0,interval 7,interval 7,interval 7,interval 7
4.389989000000001,0.028325825,63.20446,8649.78706,63802.03882,8853.134009,323.7743943,1.97234785,0.275192024,0.028325825,0.0,interval 7,interval 7,interval 7,interval 7
4.828988,0.019342318,63.3136,8650.0327,63801.67498,8652.993936,331.3698644,1.122349781,0.234162759,0.019342318,0.0,interval 7,interval 7,interval 7,interval 7
5.267986,0.018553809,63.42274,8650.27834,63801.31114,9003.241167,315.1059704,1.076596045,0.270384064,0.018553809,0.0,interval 7,interval 7,interval 7,interval 7
5.706985,0.009223117,63.53189,8650.52398,63800.9473,9053.277286,308.4447111,1.498513434,0.192294397,0.009223117,0.0,interval 7,interval 7,interval 7,interval 7
6.145984,0.013149486,63.64104,8650.769621,63800.58345,9503.611372,293.8927095,1.424290989,0.247640107,0.013149486,0.0,interval 7,interval 7,interval 7,interval 7
6.584983,0.009331173,63.75024,8651.015261,63800.21961,8953.205247,315.7278903,2.815591914,0.261505026,0.009331173,0.0,interval 7,interval 7,interval 7,interval 7
7.023982,0.008913454,63.8594,8651.260901,63799.85577,9353.498208,302.6708598,1.448201428,0.247799616,0.008913454,0.0,interval 7,interval 7,interval 7,interval 7
7.462980999999999,0.016176152,63.96854,8651.506541,63799.49193,7802.43436,369.1323351,2.753361867,0.222420684,0.016176152,0.0,interval 7,interval 7,interval 7,interval 7
7.901979999999999,0.012528899,64.07769,8651.752181,63799.12809,9953.961677,281.9817795,1.744813615,0.207856922,0.012528899,0.0,interval 7,interval 7,interval 7,interval 7
8.340978,0.040921155,64.18681,8651.997821,63798.76424,8202.690482,341.8720233,1.424664988,0.227051229,0.040921155,0.0,interval 7,interval 7,interval 7,interval 7
8.779976999999999,0.04118564,64.29603,8652.243461,63798.4004,8152.657766,339.823963,2.389807465,0.313947952,0.04118564,0.0,interval 7,interval 7,interval 7,interval 7
9.218976,0.005082363,64.40517,8652.489101,63798.03656,8252.723399,338.8495907,1.415574441,0.252954278,0.005082363,0.0,interval 7,interval 7,interval 7,interval 7
9.657974999999999,0.02388794,64.51432,8652.734741,63797.67272,8753.063572,317.8988773,1.996009596,0.233496221,0.02388794,0.0,interval 7,interval 7,interval 7,interval 7
10.096974,0.02704345,64.62348,8652.980381,63797.30888,9253.423767,305.4120129,1.883055163,0.250604286,0.02704345,0.0,interval 7,interval 7,interval 7,interval 7
10.535973,0.029190931,64.73252,8653.226021,63796.94503,8602.959418,325.1329869,2.710130714,0.248684562,0.029190931,0.0,interval 7,interval 7,interval 7,interval 7
10.974972,0.017350656,64.84166,8653.471661,63796.58119,7302.132223,384.6789655,2.416306714,0.3319474,0.017350656,0.0,interval 7,interval 7,interval 7,interval 7
11.413971,0.029551948,64.95082,8653.717301,63796.21735,8502.890983,329.6974635,0.914534711,0.225253672,0.029551948,0.0,interval 7,interval 7,interval 7,interval 7
11.852969,0.014867734,65.05989,8653.962941,63795.85351,8452.857066,336.1259361,0.920225081,0.277776547,0.014867734,0.0,interval 7,interval 7,interval 7,interval 7
12.291968,0.015749688,65.16905,8654.208581,63795.48967,8002.560819,355.9199621,1.218518502,0.282481262,0.015749688,0.0,interval 7,interval 7,interval 7,interval 7
12.730967,0.027197363,65.27815,8654.454221,63795.12582,9203.386846,305.0855841,1.683349733,0.217470583,0.027197363,0.0,interval 7,interval 7,interval 7,interval 7
13.169966,0.0,65.38719,8654.699861,63794.76198,9453.573451,303.6446539,0.409188181,0.274709244,0.0,0.0,interval 7,interval 7,interval 7,interval 7
13.608965000000001,0.009730155,65.49633,8654.945501,63794.39814,8602.959418,336.5550428,2.032585839,0.270504408,0.009730155,0.0,interval 7,interval 7,interval 7,interval 7
14.047964,0.027777874,65.60543,8655.191141,63794.0343,10454.36993,269.1364442,1.657873587,0.225975578,0.027777874,0.0,interval 7,interval 7,interval 7,interval 7
14.486963000000001,0.004243016,65.71444,8655.436781,63793.67046,9803.843106,286.9865889,0.590893373,0.270173865,0.004243016,0.0,interval 7,interval 7,interval 7,interval 7
14.925961,0.013149486,65.8236,8655.682421,63793.30662,9503.611372,299.5807109,1.627764386,0.237810739,0.013149486,0.0,interval 7,interval 7,interval 7,interval 7
15.36496,0.009065643,65.93274,8655.928061,63792.94277,9203.386846,311.5334878,0.420832383,0.266261815,0.009065643,0.0,interval 7,interval 7,interval 7,interval 7
15.803958999999999,0.004431909,66.04189,8656.173701,63792.57893,9403.535729,308.0926522,1.645880561,0.278225806,0.004431909,0.0,interval 7,interval 7,interval 7,interval 7
16.242957999999998,0.009850492,66.15104,8656.419341,63792.21509,8502.890983,335.0336315,1.829084055,0.287104094,0.009850492,0.0,interval 7,interval 7,interval 7,interval 7
16.681957,0.005082363,66.26023,8656.664981,63791.85125,8252.723399,346.4246973,3.067120897,0.305382278,0.005082363,0.0,interval 7,interval 7,interval 7,interval 7
17.120956,0.01984118,66.36938,8656.910622,63791.48741,10454.36993,274.674928,0.921033513,0.20995778,0.01984118,0.0,interval 7,interval 7,interval 7,interval 7
17.559955,0.020862165,66.47853,8657.156262,63791.12356,8052.592935,358.9575298,1.452650694,0.285309952,0.020862165,0.0,interval 7,interval 7,interval 7,interval 7
17.998954,0.014506681,66.58767,8657.401902,63790.75972,8652.993936,319.4597039,2.020245768,0.22548826,0.014506681,0.0,interval 7,interval 7,interval 7,interval 7
18.437952,0.014419665,66.69673,8657.647542,63790.39588,8753.063572,325.0184837,1.552445698,0.222783157,0.0,0.0,interval 7,interval 7,interval 7,interval 7
18.876951,0.018772462,66.80582,8657.893182,63790.03204,8903.169528,324.2671045,1.089283531,0.223054459,0.018772462,0.0,interval 7,interval 7,interval 7,interval 7
19.315949999999997,0.019110276,66.91496,8658.138822,63789.6682,8753.063572,316.1538949,1.552445698,0.216355422,0.019110276,0.0,interval 7,interval 7,interval 7,interval 7
19.754949,0.016176152,67.02419,8658.384462,63789.30435,7802.43436,364.7385883,3.754614402,0.275620369,0.016176152,0.0,interval 7,interval 7,interval 7,interval 7
20.193948,0.014332649,67.13334,8658.630102,63788.94051,8753.063572,317.5037194,1.108885349,0.261351191,0.014332649,0.0,interval 7,interval 7,interval 7,interval 7
20.632946999999998,0.013445473,67.24253,8658.875742,63788.57667,9303.460887,305.1787241,1.04024649,0.243163714,0.013445473,0.0,interval 7,interval 7,interval 7,interval 7
21.071946,0.022536118,67.35169,8659.121382,63788.21283,9253.423767,308.0887563,2.092287699,0.232411081,0.022536118,0.0,interval 7,interval 7,interval 7,interval 7
