Specimen,Researcher,Treatment,0,1,2,3,4,5,6,7,0-7
G652,0,Thick section method,22,24,13,26,32,17,65,,199
G652,0,Thin section method,47,30,42,58,11,0,53,,241
G652,0,Acetate peel method,89,36,54,48,27,26,188,,468
G652,0,Mutvei,70,31,14,10,33,67,98,,323
G717,0,Thick section method,78,21,36,53,60,42,97,,387
G717,0,Thin section method,15,18,46,31,24,7,22,,163
G717,0,Acetate peel method,4,2,47,21,68,25,23,,190
G717,0,Mutvei,66,32,37,21,30,28,85,,299
G730,0,Thick section method,39,4,27,34,46,35,116,,301
G730,0,Thin section method,72,17,39,35,6,0,84,,253
G730,0,Acetate peel method,38,30,41,65,2,3,122,,301
G730,0,Mutvei,8,0,34,63,0,0,50,,155
G781,0,Thick section method,15,12,8,10,27,49,64,,185
G781,0,Thin section method,23,20,28,19,44,0,12,,146
G781,0,Acetate peel method,13,19,17,11,60,21,86,,227
G781,0,Mutvei,11,5,0,12,24,26,9,,87
G664,1,Thick section method,68,3,42,11,25,17,28,3,197
G770,1,Thick section method,10,81,50,16,21,58,14,27,277
G235,1,Thick section method,29,33,28,10,25,36,20,27,208
G255,1,Thick section method,19,69,48,14,23,43,17,31,264
G232,1,Thick section method,29,29,32,14,23,38,20,27,212
G732,1,Thick section method,48,11,32,49,14,14,8,13,189
G737,1,Thick section method,38,38,10,29,38,24,6,13,196
G753,1,Thick section method,28,24,14,30,33,17,22,31,199
G717,2,Thick section method,4,53,12,30,19,32,7,35,192
G781,2,Thick section method,53,12,22,41,9,13,9,12,171
G652,2,Thick section method,144,33,8,24,34,17,20,17,297
G668,2,Thick section method,46,19,49,10,12,33,15,31,215
G723,2,Thick section method,16,11,31,30,42,26,8,17,181
G730,2,Thick section method,40,25,15,30,33,8,12,6,169
G664,2,Thick section method,65,3,42,12,25,17,28,4,196
G770,2,Thick section method,12,81,49,17,21,57,14,27,278
G732,2,Thick section method,48,11,31,48,15,11,7,14,185
G737,2,Thick section method,35,39,10,31,37,25,5,12,194
G652,3,Thick section method,0,50,11,43,42,16,50,0,212
G668,3,Thick section method,0,7,12,16,18,37,10,36,136
G723,3,Thick section method,101,57,33,33,16,6,20,25,291
G730,3,Thick section method,105,35,37,28,12,3,22,2,244
G717,3,Thick section method,43,17,26,20,20,27,7,44,204
G719,3,Thick section method,57,42,21,61,74,8,2,31,296
G779,3,Thick section method,64,24,10,17,45,42,29,79,310
G781,3,Thick section method,169,44,26,58,16,12,11,11,347
