Specimen,Researcher,Treatment,0,1,2,3,4,5,6,7
G664,1,Thick section method,3270,330,5010,1910,2340,1050,890,340
G770,1,Thick section method,730,3820,3820,1390,1430,2160,490,720
G235,1,Thick section method,800,1600,1200,2400,1300,2000,1800,500
G255,1,Thick section method,400,200,800,4200,2900,2800,1400,800
G232,1,Thick section method,500,3500,4700,1200,200,1000,3100,1800
G732,1,Thick section method,4510,1480,3240,2720,1150,1140,380,990
G737,1,Thick section method,1830,6260,1930,2110,2270,1340,390,590
G753,1,Thick section method,700,1600,3800,2200,2400,2100,700,1200
G717,2,Thick section method,415,4410,1515,2014,1028,1673,633,1355
G781,2,Thick section method,7759,2130,2147,2357,291,482,493,564
G652,2,Thick section method,10098,4028,602,1957,2124,667,503,1037
G668,2,Thick section method,1687,467,1701,743,1299,2071,816,1157
G723,2,Thick section method,434,5882,1702,2218,1702,1161,495,794
G730,2,Thick section method,827,5525,1870,1865,2051,616,1388,297
G664,2,Thick section method,3278,333,5010,1908,2341,1046,955,344
G770,2,Thick section method,712,3823,3820,1391,1435,2161,490,736
G732,2,Thick section method,4514,1476,3252,2722,1130,1157,377,987
G737,2,Thick section method,1836,6260,1930,2126,2272,1338,391,590
G652,3,Thick section method,0,4400,1200,1800,2000,700,700,1000
G668,3,Thick section method,0,500,1600,800,1400,2100,750,1150
G723,3,Thick section method,6296,1850,2050,1700,1100,200,600,874
G730,3,Thick section method,6795,1900,1800,2250,700,150,1200,389
G717,3,Thick section method,3859,950,1550,1900,1100,1800,700,1400
G719,3,Thick section method,3962,1500,900,2600,4800,300,200,1133
G779,3,Thick section method,5792,1200,800,2100,3000,1650,650,1752
G781,3,Thick section method,8064,2250,1900,2250,650,500,500,500
