file,specimen,treatment,peakID,peak_interval,depth
B255_int_peakid.csv,B255,intertidal,peakID_1,interval 7,0.445779
B255_int_peakid.csv,B255,intertidal,peakID_1,peak 7,942.656105
B255_int_peakid.csv,B255,intertidal,peakID_1,interval 6,1042.7470050000002
B255_int_peakid.csv,B255,intertidal,peakID_1,peak 6,2011.904387
B255_int_peakid.csv,B255,intertidal,peakID_1,peak 5,2431.265151
B255_int_peakid.csv,B255,intertidal,peakID_1,interval 4,2481.785256
B255_int_peakid.csv,B255,intertidal,peakID_1,peak 4,5140.653249
B255_int_peakid.csv,B255,intertidal,peakID_1,interval 3,5265.889805
B255_int_peakid.csv,B255,intertidal,peakID_1,peak 3,9399.085662
B255_int_peakid.csv,B255,intertidal,peakID_1,interval 2,10399.38905
B255_int_peakid.csv,B255,intertidal,peakID_1,peak 2,11961.37447
B255_int_peakid.csv,B255,intertidal,peakID_1,interval 1,12961.24465
B255_int_peakid.csv,B255,intertidal,peakID_1,peak 1,15772.58618
B255_int_peakid.csv,B255,intertidal,peakID_1,interval 0,16772.52552
B255_int_peakid.csv,B255,intertidal,peakID_2,interval 7,0.445779
B255_int_peakid.csv,B255,intertidal,peakID_2,peak 7,942.656105
B255_int_peakid.csv,B255,intertidal,peakID_2,interval 6,1042.7470050000002
B255_int_peakid.csv,B255,intertidal,peakID_2,peak 6,2011.904387
B255_int_peakid.csv,B255,intertidal,peakID_2,peak 5,2431.265151
B255_int_peakid.csv,B255,intertidal,peakID_2,interval 4,2885.08982
B255_int_peakid.csv,B255,intertidal,peakID_2,peak 4,4015.723978
B255_int_peakid.csv,B255,intertidal,peakID_2,interval 3,5015.605656
B255_int_peakid.csv,B255,intertidal,peakID_2,peak 3,5140.653249
B255_int_peakid.csv,B255,intertidal,peakID_2,interval 2,5265.889805
B255_int_peakid.csv,B255,intertidal,peakID_2,peak 2,6202.596465
B255_int_peakid.csv,B255,intertidal,peakID_2,interval 1,7202.541652
B255_int_peakid.csv,B255,intertidal,peakID_2,peak 1,17194.72829
