time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
62.3312,0.000426901,7579.0775,42112.155,8953.205247,395.4707105,1.54704721,0.349786652,0.004739219,0
62.44034,0.000853803,7579.300963,42111.79126,9503.611372,360.846904,1.865960093,0.328137459,0.017783799,0
62.54953,0.001280704,7579.524426,42111.42751,9203.386846,377.5732726,2.145732908,0.342409725,0.018405155,0
62.65869,0.001707606,7579.74789,42111.06377,8803.098691,428.1634788,2.700701026,0.32086277,0.019304446,0
62.76784,0.002134507,7579.971353,42110.70003,9253.423767,362.3507408,1.066644455,0.273444909,0.018298599,0
62.87697,0.002561409,7580.194816,42110.33628,8652.993936,395.2350477,1.834057288,0.314854406,0.049163059,0
62.98612,0.00298831,7580.418279,42109.97254,10204.1633,334.6981433,1.921893487,0.294117883,0.008242513,0
63.09532,0.003415212,7580.641743,42109.6088,10304.24535,327.2252052,1.711842229,0.256243826,0.036709386,0
63.20446,0.003842113,7580.865206,42109.24506,9953.961677,339.9361861,1.381343331,0.299412257,0.156591825,0
63.31362,0.004269014,7581.088669,42108.88131,10004.0016,355.5694057,1.177698784,0.308089259,0.113656427,0
63.42276,0.004695916,7581.312132,42108.51757,9053.277286,377.2482035,2.183884101,0.379928071,0.117087331,0
63.53195,0.005122817,7581.535596,42108.15383,9803.843106,335.8603856,0.601666533,0.296429828,0.055911803,0
63.6411,0.005549719,7581.759059,42107.79008,9153.350126,396.1134268,1.726633932,0.313354577,0.037026511,0
63.75024,0.00597662,7581.982522,42107.42634,8903.169528,393.2448156,2.223416027,0.348988277,0.042911704,0
63.85939,0.006403522,7582.205985,42107.0626,9303.460887,373.7660204,1.908923671,0.296843994,0.045484264,0
63.96855,0.006830423,7582.429448,42106.69885,9403.535729,380.386111,1.048434654,0.31815524,0.040469769,0
