time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
61.7871,0.000428658,60546.3858,42455.6207,8302.756515,335.4478917,1.456361288,0.489067239,0.010329156,0
61.89624,0.000857316,60546.69754,42455.32648,9103.313606,303.2441963,1.317963204,0.365297257,0,0
62.00539,0.001285974,60547.00929,42455.03227,8052.592935,353.7249578,1.756737057,0.453476884,0.010679596,0
62.11452,0.001714632,60547.32103,42454.73805,7702.372331,364.0745957,1.317378697,0.476089716,0,0
62.22373,0.00214329,60547.63278,42454.44384,8552.9251,324.3975693,0.470026154,0.496083517,0,0
62.33289,0.002571948,60547.94452,42454.14962,8352.789832,331.6501263,1.688013356,0.397168104,0,0.001432713
62.44203,0.003000605,60548.25627,42453.85541,8002.560819,348.0729999,2.021419582,0.468699183,0.021505284,0
62.55118,0.003429263,60548.56801,42453.56119,8803.098691,317.1135169,1.82223008,0.375153395,0.092089812,0
62.66035,0.003857921,60548.87976,42453.26698,9753.803984,277.5362286,3.058779403,0.348896411,0.247363978,0
62.7695,0.004286579,60549.1915,42452.97276,8552.9251,317.3382022,1.645107989,0.46976948,0.150031471,0
62.87866,0.004715237,60549.50325,42452.67854,8002.560819,348.5886664,3.032153631,0.46061632,0.064517916,0
62.9878,0.005143895,60549.81499,42452.38433,7452.220762,380.6647835,1.366033148,0.467454692,0.03487926,0
63.09694,0.005572553,60550.12674,42452.09011,7001.960549,400.1158235,1.170645489,0.528828,0.031135749,0
63.20614,0.006001211,60550.43848,42451.7959,8302.756515,324.6490558,1.699091568,0.399774666,0.041317616,0
63.31528,0.006429869,60550.75023,42451.50168,9203.386846,298.7981478,1.736661184,0.44086753,0.013856812,0
63.42443,0.006858527,60551.06197,42451.20747,8302.756515,336.6640995,1.941822818,0.438596514,0,0
63.53358,0.007287185,60551.37372,42450.91325,9003.241167,309.6128023,1.556112006,0.373244271,0.014189984,0
63.64264,0.007715843,60551.68546,42450.61904,8703.028654,317.7728595,2.075579455,0.464670331,0.024535021,0
63.75178,0.008144501,60551.99721,42450.32482,6401.63882,446.0482374,1.940184231,0.568788301,0.048163209,0
63.86095,0.008573159,60552.30895,42450.03061,8352.789832,339.6632086,2.170311568,0.431879888,0.010261809,0
63.97003,0.009001816,60552.6207,42449.73639,7902.497189,350.8514731,1.024702589,0.565339385,0.021803189,0
64.07918,0.009430474,60552.93244,42449.44217,9003.241167,300.2122379,1.556112006,0.444356195,0.009459951,0
64.18828,0.009859132,60553.24419,42449.14796,8302.756515,337.9706987,1.456361288,0.407538911,0.020658477,0
64.29732,0.01028779,60553.55593,42448.85374,7302.132223,387.2167308,3.632230741,0.558487288,0.041614788,0
64.40641,0.010716448,60553.86768,42448.55953,8953.205247,309.2435903,1.118225687,0.371924429,0.014275794,0
64.51556,0.011145106,60554.17942,42448.26531,7402.191049,380.6366187,1.651441372,0.514955977,0.023425687,0
64.62476,0.011573764,60554.49117,42447.9711,8052.592935,356.4298396,3.262550828,0.477561035,0.005339777,0
64.7339,0.012002422,60554.80291,42447.67688,9003.241167,301.7777708,0.444598984,0.355467179,0.023650162,0
64.84304,0.01243108,60555.11466,42447.38267,8552.9251,328.1053351,0.940056068,0.375796789,0.015001527,0
64.95219,0.012859738,60555.4264,42447.08845,7652.341617,361.8631008,1.0614622,0.530439154,0.01693894,0
65.06133,0.013288396,60555.73815,42446.79423,8352.789832,336.3938736,2.170311568,0.397168104,0.010261809,0
65.17052,0.013717054,60556.04989,42446.50002,7652.341617,367.3268546,1.857569995,0.551662238,0.011292582,0
65.27969,0.014145712,60556.36164,42446.2058,8252.723399,337.8452792,1.710316104,0.433678182,0.020794951,0
65.38884,0.014574369,60556.67338,42445.91159,9403.535729,283.7269062,1.272610132,0.410398064,0,0
65.49798,0.015003027,60556.98512,42445.61737,7452.220762,380.2083107,3.551743013,0.498042814,0.03487926,0
65.60716,0.015431685,60557.29687,42445.32316,8202.690482,339.0423591,0.73786119,0.487703775,0.010466536,0
65.71631,0.015860343,60557.60861,42445.02894,7952.528904,350.8448908,1.526487117,0.431231556,0.016239844,0
65.82545,0.016289001,60557.92036,42444.73473,8302.756515,331.5758505,2.18455504,0.504597221,0.005164557,0
65.93459,0.016717659,60558.2321,42444.44051,8703.028654,316.3611415,0,0.339260023,0.044163744,0
66.04375,0.017146317,60558.54385,42444.14629,9303.460887,295.8086845,1.287377103,0.343093186,0.004565305,0
66.15276,0.017574975,60558.85559,42443.85208,8252.723399,334.8084224,1.4659823,0.445401887,0.025993793,0
66.2619,0.018003633,60559.16734,42443.55786,8002.560819,347.7917471,1.010701705,0.456574912,0.016128898,0
66.37105,0.018432291,60559.47908,42443.26365,8202.690482,331.0625921,1.967649518,0.483769713,0.04186715,0
66.4802,0.018860949,60559.79083,42442.96943,7702.372331,351.9136045,2.898267912,0.459233308,0.028030683,0
66.58935,0.019289607,60560.10257,42442.67522,9003.241167,306.0648977,1.556112006,0.351911803,0.028380308,0
66.69854,0.019718265,60560.41432,42442.381,7352.161535,382.1525647,1.941130185,0.545429232,0.011800563,0
66.80769,0.020146923,60560.72606,42442.08679,8602.959418,321.7859459,3.035945358,0.421979952,0.004968894,0
66.91684,0.02057558,60561.03781,42441.79257,9003.241167,306.518559,2.000723439,0.362577973,0.052031606,0
67.02598,0.021004238,60561.34955,42441.49836,8252.723399,334.1287591,2.198986644,0.48448192,0.031192676,0
67.13504,0.021432896,60561.6613,42441.20414,8352.789832,334.7375657,1.688013356,0.416452274,0.015392775,0
67.24413,0.021861554,60561.97304,42440.90992,8552.9251,327.4072039,1.410089742,0.462251318,0.015001527,0
67.35328,0.022290212,60562.28479,42440.61571,8052.592935,346.8287132,1.254807164,0.51770257,0.053399688,0
67.46242,0.02271887,60562.59653,42440.32149,8102.625251,353.8886264,0.997078156,0.490290641,0.021215408,0
67.57156,0.023147528,60562.90828,42440.02728,9503.611372,294.2766088,1.887278288,0.422514409,0.031233059,0
67.68066,0.023576186,60563.22002,42439.73306,7652.341617,363.0932394,1.857569995,0.42008596,0.028231793,0
67.78978,0.024004844,60563.53177,42439.43885,8803.098691,312.4220307,1.82223008,0.415227457,0.033926197,0
67.89884,0.024433502,60563.84351,42439.14463,7952.528904,356.7954627,2.035324298,0.471923218,0.016239844,0
68.00795,0.02486216,60564.15526,42438.85042,9053.277286,300.7529145,0.883888527,0.42402887,0.018807006,0
68.11714,0.025290818,60564.467,42438.5562,8202.690482,341.2787595,1.22977357,0.377555968,0.02093324,0
68.2263,0.025719476,60564.77875,42438.26198,8853.134009,312.6094434,1.131915586,0.293204735,0.019267499,0
68.33544,0.026148134,60565.09049,42437.96777,7502.250675,372.5892479,2.440850009,0.494390997,0.028852813,0
68.44458,0.026576791,60565.40224,42437.67355,8452.857066,324.9970568,1.904329078,0.403477122,0.07091141,0
68.55373,0.027005449,60565.71398,42437.37934,7452.220762,375.7468074,1.639243056,0.489303264,0.023252654,0
68.66293,0.027434107,60566.02573,42437.08512,7552.280789,366.8815517,1.884612634,0.426201602,0.017185539,0
68.77208,0.027862765,60566.33747,42436.79091,8352.789832,340.156019,0.964573273,0.339317907,0.020523782,0
68.88122,0.028291423,60566.64921,42436.49669,8352.789832,333.3054911,1.92916198,0.4743071,0.03591705,0
68.99037,0.028720081,60566.96096,42436.20248,7852.465674,355.4517386,2.063715438,0.503262528,0.010977541,0
69.09952,0.029148739,60567.2727,42435.90826,8102.625251,335.4327601,0.747807121,0.494277733,0.021215408,0
69.20871,0.029577397,60567.58445,42435.61404,8152.657766,338.1892658,2.723646782,0.471166915,0.047416052,0
69.31787,0.030006055,60567.89619,42435.31983,7502.250675,366.5053121,1.356016934,0.524755688,0.017311549,0
69.42702,0.030434713,60568.20794,42435.02561,8302.756515,329.5958684,0.970903642,0.43083202,0.030987964,0
69.53616,0.030863371,60568.51968,42434.7314,8452.857066,316.7497494,1.66628461,0.407284325,0.015194634,0
69.64534,0.031292029,60568.83143,42434.43718,9103.313606,297.1751503,0.878638621,0.393403342,0.009347576,0
69.75448,0.031720687,60569.14317,42434.14297,7452.220762,376.7605009,1.912454057,0.484933514,0.017439421,0
69.86363,0.032149344,60569.45492,42433.84875,8703.028654,307.1729877,1.153090472,0.424094541,0.024535021,0
69.97279,0.032578002,60569.76666,42433.55454,7202.074197,388.6301518,0.567363884,0.49445531,0.030180564,0
70.08198,0.03300666,60570.07841,42433.26032,7902.497189,349.996372,1.024702589,0.46699707,0.059960447,0
70.19114,0.033435318,60570.39015,42432.96611,8753.063572,314.5281656,3.208702984,0.469122639,0.03413644,0
