time,depth,Xpos,Ypos,Ca43,23Na/43Ca,25Mg/43Ca,43Ca/43Ca,55Mn/43Ca,88Sr/43Ca,138Ba/43Ca
s,mm, , ,cps,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol,mmol/mol
62.33315,0.000425918,48759.2354,40971.4412,5451.188359,369.3189016,2.24618005,1000,0.369417702,0.024287849,0
62.44226,0.000851835,48759.56446,40971.17078,6101.488763,312.1812421,0.991806529,1000,0.276584166,0.014299178,0
62.5513,0.001277753,48759.89352,40970.90036,5851.36922,331.8693921,2.077003416,1000,0.293317732,0.044917638,0
62.66044,0.00170367,48760.22257,40970.62994,6001.440346,319.828118,2.356613701,1000,0.245535398,0.007280488,0
62.76955,0.002129588,48760.55163,40970.35952,4700.883766,416.2201137,2.209191843,1000,0.412302306,0.01911028,0
62.87856,0.002555505,48760.88069,40970.0891,5051.020306,392.2131143,2.037790288,1000,0.397802433,0.061697822,0
62.9877,0.002981423,48761.20975,40969.81868,5951.416437,327.5077927,1.698843915,1000,0.240515047,0.13961762,0
63.09685,0.003407341,48761.53881,40969.54827,6151.513272,304.7338909,2.621273993,1000,0.316299151,0.099207003,0
63.20599,0.003833258,48761.86786,40969.27785,6401.63882,307.3251631,1.882084439,1000,0.319632274,0.081406527,0
63.31514,0.004259176,48762.19692,40969.00743,6501.69044,295.4113673,1.233667383,1000,0.238172442,0.060029849,0
63.42433,0.004685093,48762.52598,40968.73701,6351.61331,303.7523962,1.581896748,1000,0.329171052,0.034210307,0
63.53349,0.005111011,48762.85504,40968.46659,6701.796081,286.3912937,1.193616016,1000,0.288060503,0.025813245,0
63.64264,0.005536928,48763.1841,40968.19617,5051.020306,397.8831216,2.037790288,1000,0.393430191,0.052883636,0
63.75178,0.005962846,48763.51315,40967.92575,6501.69044,291.3386242,3.084205468,1000,0.324196018,0.033349382,0
63.86091,0.006388763,48763.84221,40967.65533,5701.299896,346.3463933,1.781139837,1000,0.355344222,0.023111313,0
63.97012,0.006814681,48764.17127,40967.38491,5601.254681,348.7685913,1.453064546,1000,0.307807367,0.023567982,0
64.07926,0.007240599,48764.50033,40967.11449,5901.392729,328.2971858,2.400574437,1000,0.301618512,0.029665556,0
64.18841,0.007666516,48764.82939,40966.84407,5051.020306,395.969079,1.63022897,1000,0.384685759,0.079326405,0
64.29757,0.008092434,48765.15844,40966.57365,5601.254681,347.7583316,1.453064546,1000,0.393543192,0.007855931,0
64.40663,0.008518351,48765.4875,40966.30323,6051.464454,313.9128728,2.001623,1000,0.332775549,0,0
64.51577,0.008944269,48765.81656,40966.03281,5401.166652,372.3278788,2.269284429,1000,0.324529219,0.016358385,0
64.6249,0.009370186,48766.14562,40965.7624,5301.123838,372.6252025,1.158467432,1000,0.343773197,0.025053068,0
64.73397,0.009796104,48766.47468,40965.49198,6151.513272,312.5870619,1.310626511,1000,0.288179059,0.028343724,0
64.84312,0.010222022,48766.80374,40965.22156,5301.123838,375.176909,1.544626331,1000,0.376913995,0.033404225,0
64.95223,0.010647939,48767.13279,40964.95114,5151.061119,383.9151476,2.791046663,1000,0.325015775,0.025868064,0
65.06128,0.011073857,48767.46185,40964.68072,5251.102732,372.5777263,2.341539614,1000,0.443715752,0.042198618,0
65.17043,0.011499774,48767.79091,40964.4103,6101.488763,317.868604,0.991806529,1000,0.319143237,0.028598584,0
65.27953,0.011925692,48768.11997,40964.13988,5651.277189,347.1700732,1.798564955,1000,0.347243658,0.023337414,0
65.38872,0.012351609,48768.44903,40963.86946,6451.664529,294.3434902,1.555132665,1000,0.263542502,0.033631503,0
65.49787,0.012777527,48768.77808,40963.59904,5951.416437,319.6555684,2.038616775,1000,0.335280836,0.02939142,0
65.60701,0.013203445,48769.10714,40963.32862,5051.020306,390.3003248,3.260484024,1000,0.393430191,0.061697822,0
65.71616,0.013629362,48769.4362,40963.0582,5351.145145,357.7306726,2.292868959,1000,0.372996767,0.016528397,0
65.82531,0.01405528,48769.76526,40962.78778,6151.513272,317.2576411,2.293610157,1000,0.333874665,0.021257708,0
65.9345,0.014481197,48770.09432,40962.51736,6051.464454,320.5787475,2.335231504,1000,0.329196659,0.014428919,0
66.04366,0.014907115,48770.42337,40962.24695,5551.232374,343.3889563,0.733778885,1000,0.373853508,0.047606871,0
66.15281,0.015333032,48770.75243,40961.97653,5801.345912,327.3135028,0.698909034,1000,0.363585681,0.037786973,0
66.26194,0.01575895,48771.08149,40961.70611,6301.588,304.0594399,0.95737247,1000,0.318333733,0.013802731,0
66.37095,0.016184868,48771.41055,40961.43569,5751.322804,328.1879509,0.705615387,1000,0.385999676,0.030519523,0
66.4801,0.016610785,48771.73961,40961.16527,4900.960588,391.8623731,2.107879937,1000,0.461234891,0.045585288,0
66.58923,0.017036703,48772.06866,40960.89485,5201.081825,375.1351045,2.761106463,1000,0.355380128,0.051181758,0
66.69838,0.01746262,48772.39772,40960.62443,5601.254681,348.0108841,2.542878213,1000,0.261045551,0.04713653,0
66.80753,0.017888538,48772.72678,40960.35401,5851.36922,327.7790423,1.038495477,1000,0.219051315,0.037431215,0
66.91673,0.018314455,48773.05584,40960.08359,6151.513272,315.7194213,2.293610157,1000,0.309269044,0.021257708,0
67.02589,0.018740373,48773.3849,40959.81317,6001.440346,315.7932931,2.693278188,1000,0.350269343,0.036403024,0
67.13503,0.01916629,48773.71395,40959.54275,5251.102732,375.3587945,2.341539614,1000,0.343235329,0.033758759,0
67.24419,0.019592208,48774.04301,40959.27233,5051.020306,387.679781,4.483192432,1000,0.31036091,0.035255475,0
67.3533,0.020018126,48774.37207,40959.00191,6451.664529,306.4572395,2.488227194,1000,0.303581562,0.01345244,0
67.46251,0.020444043,48774.70113,40958.7315,5251.102732,375.0195899,5.853954407,1000,0.313930357,0.067518599,0
67.57166,0.020869961,48775.03019,40958.46108,5601.254681,353.5691324,2.179605537,1000,0.350674336,0.031424102,0
67.68081,0.021295878,48775.35924,40958.19066,6851.877414,285.5616527,1.747871722,1000,0.271837755,0.037799779,0
67.78996,0.021721796,48775.6883,40957.92024,6801.850103,287.024987,1.761831657,1000,0.292909553,0.012700356,0
67.899,0.022147713,48776.01736,40957.64982,6401.63882,295.3836504,2.509455956,1000,0.279250968,0.02713464,0
