response,predictor,r2,p
NaCa_mean,T_mean,0.05491868989466975,6.6761358226634e-05
NaCa_mean,S_mean,0.016265292824329425,0.03166866946949583
NaCa_mean,growth_mean,0.0445108589939911,0.009313974704432284
MgCa_mean,T_mean,0.00504488664261582,0.23278991162015483
MgCa_mean,S_mean,0.0005614965929698901,0.6909063468176317
MgCa_mean,growth_mean,0.02816980122005075,0.03940494195170545
MnCa_mean,T_mean,3.559362182770087e-08,0.9974743976574849
MnCa_mean,S_mean,0.0004853713301936624,0.7116187969097728
MnCa_mean,growth_mean,0.03831255180701354,0.016013741105104867
SrCa_mean,T_mean,0.09097371839006385,2.1984595417311658e-07
SrCa_mean,S_mean,0.06806358322439376,8.405387566217328e-06
SrCa_mean,growth_mean,0.2083563825497997,3.849085003828171e-09
BaCa_mean,T_mean,0.003051035918744671,0.35368797653951645
BaCa_mean,S_mean,0.0008003280281748681,0.6349686573470041
BaCa_mean,growth_mean,0.01006370329633599,0.22035721088266658
