response,predictor,r2,p
NaCa_mean,T_mean,0.0014509396408723951,0.5646120454761461
NaCa_mean,S_mean,0.005273697593113469,0.2737903913976147
NaCa_mean,growth_mean,0.026661349899323894,0.07476010671471706
MgCa_mean,T_mean,0.058687324961028464,0.00011285442123533535
MgCa_mean,S_mean,0.07311984230019863,1.5776225743781276e-05
MgCa_mean,growth_mean,0.03845447735703322,0.03110986677239862
MnCa_mean,T_mean,0.014950643288647592,0.05803494951085812
MnCa_mean,S_mean,0.028709001205661555,0.008672299574282958
MnCa_mean,growth_mean,0.06923407102754675,0.004495738493532068
SrCa_mean,T_mean,0.11131982217370862,2.9436874509064545e-08
SrCa_mean,S_mean,0.11659469042998927,1.5046813506430678e-08
SrCa_mean,growth_mean,0.1413877414126785,8.184600083554672e-06
BaCa_mean,T_mean,0.3289360962323452,7.058311241683785e-24
BaCa_mean,S_mean,0.2953783568491334,4.470522296177378e-21
BaCa_mean,growth_mean,0.021380513727257355,0.09306991371421913
