SampleID,Timestamp [UTC],T,S,SecchiDepth,TN,TP,PO4,NO3,NO2,NH4,DON,DOP,Si,DIC,TSM,Chl
HW2201,04/01/2022 09:06,8,30.8,0.8,40.756,0.98,0.811,24.253,1.078,6.94,8.485,0.169,18.01,2319.5,24.2,1.715
HW2202,12/01/2022 13:04,6,26.6,1.2,53.431,0.794,0.628,29.23,1.56,8.917,13.724,0.166,21.57,2371,13.4,1.651
HW2203,02/02/2022 09:05,6.6,28,0.9,45.559,0.638,0.448,26.868,1.111,5.724,11.856,0.19,16.71,2335.8,17.65,2.087
HW2204,24/02/2022 10:27,7,28.7,0.7,61.718,0.789,0.642,47.019,0.95,4.772,8.977,0.147,27.46,2301.2,39.6,1.451
HW2205,10/03/2022 10:04,6.1,24.1,0.7,91.492,0.474,0.28,67.368,0.984,4.682,18.458,0.194,34.73,2396.9,36.3,12.143
HW2206,22/03/2022 09:38,8.4,27.2,0.6,53.362,0.251,0.056,39.716,0.626,1.118,11.902,0.195,2.86,2298.2,51.5,31.646
HW2207,31/03/2022 08:52,8,29.2,0.85,33.59,0.26,0.047,21.806,0.399,0.923,10.462,0.213,0.29,2227.7,36.5,31.031
HW2208,05/04/2022 10:37,8,29.9,0.9,29.239,0.237,0.051,17.389,0.315,0.572,10.963,0.186,0.37,2234.5,28.5,18.199
HW2209,11/04/2022 14:55,9.3,30,2.2,24.167,0.242,0.042,12.352,0.224,0.84,10.751,0.2,0.41,2204.9,5.3,5.137
HW2210,19/04/2022 09:46,10.8,28,1.1,47.5,0.345,0.071,24.553,0.288,1.627,21.032,0.274,3.48,2278.1,5.3,6.504
HW2211,25/04/2022 15:18,11.9,28.9,1,35.811,0.344,0.074,16.95,0.291,2.141,16.429,0.27,0.51,2269.5,19.2,12.664
HW2212,03/05/2022 09:39,11.7,29.2,1.5,31.091,0.377,0.078,10.125,0.272,3.153,17.541,0.299,0.77,2321.1,5.8,7.262
HW2213,09/05/2022 13:33,15,29.3,1.5,30.304,0.54,0.192,5.457,0.312,4.473,20.062,0.348,0.86,2256.4,5.4,7.552
HW2214,16/05/2022 09:12,15.3,30.7,1.9,23.919,0.506,0.146,2.919,0.192,2.486,18.322,0.36,0.83,2238.9,6.3,6.946
HW2215,23/05/2022 14:08,16.8,30.5,2.2,21.066,0.458,0.069,0.766,0.076,1.685,18.539,0.389,0.39,2196.7,7,10.324
HW2216,31/05/2022 08:34,14.6,29.4,2.1,25.023,0.542,0.07,2.765,0.328,3.123,18.807,0.472,2.02,2346,6.1,1.994
HW2217,07/06/2022 13:22,15,32.2,1.6,20.603,0.396,0.112,3.205,0.25,1.258,15.89,0.284,0.21,2189.1,10.2,8.609
HW2218,14/06/2022 08:36,16.6,30.2,3,28.359,0.488,0.135,6.582,0.602,4.581,16.594,0.353,1.36,2300.5,2.7,1.635
HW2219,20/06/2022 13:08,18.1,30.2,1.45,25.599,0.448,0.092,5.866,0.569,3.143,16.021,0.356,1.84,2280.7,13.2,4.481
HW2220,29/06/2022 08:42,19.8,29.6,1.9,21.629,0.463,0.088,0.541,0.165,1.39,19.533,0.375,0.89,2209.5,4.7,8.769
HW2221,06/07/2022 12:59,19.9,30.4,2.4,18.376,0.447,0.079,0.326,0.1,0.906,17.044,0.368,1.1,2161.5,5.5,5.821
HW2222,13/07/2022 08:11,19.6,30.5,1.8,19.689,0.628,0.224,0.513,0.107,1.145,17.924,0.404,1.97,2207.6,4.5,2.613
HW2223,19/07/2022 12:56,21.3,31.6,1.9,19.931,0.684,0.257,0.424,0.115,1.405,17.987,0.427,1.21,2182.6,4.5,3.4
HW2224,27/07/2022 07:59,20,31.5,2.6,18.086,0.688,0.347,0.724,0.217,2.397,14.748,0.341,1.86,2214.8,4.5,2.259
HW2225,01/08/2022 11:00,20,31.8,2.6,18.088,0.709,0.311,0.522,0.235,2.319,15.012,0.398,1.72,2196.9,3.4,3.122
HW2226,08/08/2022 14:28,21.3,31.7,2.9,18.203,0.669,0.221,0.227,0.094,0.89,16.992,0.448,1.52,2172.7,2.7,4.091
HW2227,15/08/2022 11:18,22.9,32.3,2.2,16.542,0.782,0.343,0.149,0.06,0.838,15.495,0.439,1.91,2177,4.2,4.086
HW2228,22/08/2022 15:19,22.6,32.7,2.65,17.032,0.588,0.151,0.05,0.049,0.636,16.297,0.437,1.89,2138.3,2.9,2.084
HW2229,29/08/2022 10:13,21.6,32.8,2.6,20.93,0.656,0.182,0.218,0.048,0.83,19.834,0.474,2.54,2164,3.5,3.965
HW2230,05/09/2022 12:53,20.7,32.7,3,18.183,0.683,0.226,0.169,0.073,0.945,16.996,0.457,1.68,2109.9,5.1,2.324
HW2231,12/09/2022 10:14,20.2,32.7,2.3,15.089,0.59,0.221,0.192,0.04,0.528,14.329,0.369,2.86,2180.7,8.3,4.394
HW2232,19/09/2022 13:43,15.9,33.4,1.2,14.903,0.55,0.19,0.083,0.071,0.996,13.753,0.36,2.28,2190.1,10,5.329
HW2233,03/10/2022 11:34,15.2,32.6,2.8,18.941,0.5,0.157,0.735,0.189,1.761,16.256,0.343,2.72,2186.2,3.6,5.464
HW2234,18/10/2022 13:08,15.2,30.5,3,20.308,0.606,0.278,1.997,0.31,2.739,15.262,0.328,1.81,2178.4,3,3.735
HW2235,25/10/2022 08:39,14.8,31.3,1.8,18.692,0.604,0.342,3.824,0.334,2.466,12.068,0.262,1.86,2214.2,9.8,6.055
HW2236,01/11/2022 10:43,14.5,29.1,0.7,25.734,0.704,0.391,3.923,0.525,6.266,15.02,0.313,3.13,2213.9,46.9,4.104
HW2237,16/11/2022 09:56,12,30.3,1.7,32.827,0.911,0.702,11.393,0.762,8.266,12.406,0.209,12.25,2293.2,11.6,2.174
