response,predictor,peakID,r2,p,n,slope,slope_std_err,intercept,intercept_std_err
NaCa_mean,T_mean,1,0.03555323769783425,0.026774781174711756,138,-6.3548651426228275,2.8381571320850485,132.3862842041929,36.74934070577384
NaCa_mean,T_mean,2,0.04265932199845779,0.016649111131675415,134,-4.897807280678261,2.0194867536590433,110.37173590970056,26.85462461769312
NaCa_mean,T_mean,3,0.02809993147797052,0.054703268689380566,132,-5.689867458738275,2.9348685185584333,118.7020666982109,35.0425991826194
NaCa_mean,T_mean,4,0.020798197785572015,0.09769187671456084,133,-3.6908050714469804,2.2126295642775227,88.88034426669608,28.00591166336328
NaCa_mean,S_mean,1,0.008965905449751621,0.2692878748459861,138,-7.014906605787483,6.32411355845709,255.72386306094586,180.8112026701549
NaCa_mean,S_mean,2,0.014421425626152118,0.16693576844863373,134,-7.061072962901204,5.0807200192287665,252.62720004765106,146.2611529768915
NaCa_mean,S_mean,3,0.01307915280092875,0.19164265556724153,132,-8.739967685612775,6.65870086955347,302.7257659081105,188.1637208573227
NaCa_mean,S_mean,4,0.0036086770951151426,0.492165689004579,133,-3.5619345376424616,5.171198903185288,147.04250373502092,147.76114645746117
NaCa_mean,Chl_mean,1,0.03770649926957981,0.022481305089175736,138,-5.256339863605804,2.276982292715613,98.07768779607808,22.682349937081376
NaCa_mean,Chl_mean,2,0.03770513326947811,0.024566086143400563,134,-3.4591861645914497,1.521040626731685,78.30294034685686,15.979769438093625
NaCa_mean,Chl_mean,3,0.029119495346387914,0.050432111110864465,132,-3.7405701863022887,1.8943363811224987,88.5701661128397,21.47740463528753
NaCa_mean,Chl_mean,4,0.02647516296971708,0.06130867961694775,133,-2.8124846182333814,1.4900769785984402,69.90548425307158,16.581580929165856
NaCa_mean,growth_mean,1,0.027268658640410504,0.05292539509562444,138,-0.4268564300130404,0.21861348147883752,81.77147347134915,18.91466404222763
NaCa_mean,growth_mean,2,0.024386290531625554,0.07157201617924311,134,-0.266666471398165,0.14680725695771332,66.16227506837274,13.447127400347316
NaCa_mean,growth_mean,3,0.039106403974232595,0.023032307937556003,132,-0.718379802426041,0.31231737489421246,94.59300536296507,21.671080116921928
NaCa_mean,growth_mean,4,0.01887608190310963,0.11479706872453295,133,-0.2791457431860556,0.1758333970890646,62.108674368798674,14.766927645980829
MgCa_mean,T_mean,1,0.02056793072423968,0.09332570169466496,138,-0.18625106161157626,0.1102100405520541,4.51503304204783,1.427033860690142
MgCa_mean,T_mean,2,0.027589881735735955,0.05509799898037008,134,-0.13380388180020747,0.0691403482246757,3.6609821976011814,0.919410882069955
MgCa_mean,T_mean,3,0.009284977238550263,0.27172180772926424,132,-0.13645857009959197,0.12362693224474039,3.964376809142132,1.4761169052156395
