response,predictor,specimen,r2,p
NaCa_mean,T_mean,B255,0.5017282143328596,0.00312231042128974
NaCa_mean,T_mean,B323,0.18171768997002935,0.11308890116228396
NaCa_mean,T_mean,B325,0.4460161059562887,0.006511356174689554
NaCa_mean,T_mean,G652,0.02499073718561462,0.5736383663913102
NaCa_mean,T_mean,G664,0.1792567846669113,0.1158240241658367
NaCa_mean,T_mean,G668,0.25497448557885116,0.05487976348243855
NaCa_mean,T_mean,G691,0.021199300814042865,0.6046273588189088
NaCa_mean,T_mean,G717,0.061208166076093695,0.37400519516678
NaCa_mean,T_mean,G719,0.0245196313873276,0.5773192703265844
NaCa_mean,T_mean,G723,0.2861954304706069,0.03989377349542395
NaCa_mean,T_mean,G728,0.17392726463353092,0.12197117836373836
NaCa_mean,T_mean,G730,0.2585102259941059,0.05295421011440434
NaCa_mean,T_mean,G732,0.0004864854554395004,0.937810685630548
NaCa_mean,T_mean,G737,0.020591675586233205,0.609908416010272
NaCa_mean,T_mean,G753,0.1565604766143639,0.16139389880150587
NaCa_mean,T_mean,G767,0.1633283435630708,0.13516639677148143
NaCa_mean,T_mean,G770,0.13605487024782503,0.17607789104487914
NaCa_mean,T_mean,G779,0.0602758706129084,0.3777867390017242
NaCa_mean,T_mean,G781,0.4095995143285184,0.010176923640201258
NaCa_mean,S_mean,B255,0.47044370063316776,0.004757285688564219
NaCa_mean,S_mean,B323,0.016615637053609245,0.6470662424692248
NaCa_mean,S_mean,B325,0.26462750008425173,0.04976953255615163
NaCa_mean,S_mean,G652,0.0020588343996980063,0.8724322151329597
NaCa_mean,S_mean,G664,0.029419488621192702,0.5410505766838278
NaCa_mean,S_mean,G668,0.18179830223149784,0.11300038100191787
NaCa_mean,S_mean,G691,0.011030826284125328,0.709509769326566
NaCa_mean,S_mean,G717,0.02081982457100262,0.6079143675294822
NaCa_mean,S_mean,G719,0.12185376666974956,0.20221935988697426
NaCa_mean,S_mean,G723,0.15713341201012343,0.1435253908948461
NaCa_mean,S_mean,G728,0.10674005134191689,0.2346212128644576
NaCa_mean,S_mean,G730,0.12406925239449729,0.19788687700205507
NaCa_mean,S_mean,G732,0.09357630794653105,0.26750716661564955
NaCa_mean,S_mean,G737,0.0065156198536673315,0.7749013516745775
NaCa_mean,S_mean,G753,0.03018758976221625,0.5524896475107455
NaCa_mean,S_mean,G767,0.01908455210599269,0.6234343035685898
NaCa_mean,S_mean,G770,0.020084400383746592,0.6143912887535783
NaCa_mean,S_mean,G779,0.05375323328274695,0.4057137219721775
NaCa_mean,S_mean,G781,0.09799098772935677,0.25593668337398584
NaCa_mean,growth_mean,B255,0.3361115872921282,0.13198204572781103
NaCa_mean,growth_mean,B323,0.5856999011135368,0.026895085879796624
NaCa_mean,growth_mean,B325,0.459423228310073,0.06471211424553819
NaCa_mean,growth_mean,G652,0.37492844240974876,0.10660098444774638
NaCa_mean,growth_mean,G664,0.16756071954965635,0.31391126561910787
