response,predictor,specimen,r2,p
NaCa_mean,T_mean,B255,0.5720929235605254,0.001744568985907613
NaCa_mean,T_mean,B323,0.01489180875244045,0.6912578765226147
NaCa_mean,T_mean,B325,0.5435495104213666,0.004031723023441024
NaCa_mean,T_mean,G652,0.3125723195918111,0.04699305497221688
NaCa_mean,T_mean,G664,0.24998248045957294,0.09786825682954343
NaCa_mean,T_mean,G668,0.023354733744335165,0.6019636407044471
NaCa_mean,T_mean,G691,0.009055244066703327,0.7686240064018329
NaCa_mean,T_mean,G717,0.5361445815010073,0.004428265179938883
NaCa_mean,T_mean,G719,0.02451955049059007,0.5773199062642319
NaCa_mean,T_mean,G723,0.33340697505366534,0.03878749121848842
NaCa_mean,T_mean,G728,0.21296518744203152,0.09670732371657445
NaCa_mean,T_mean,G730,0.14967356037955903,0.2398286414126884
NaCa_mean,T_mean,G732,0.4086275830017535,0.01865718938927481
NaCa_mean,T_mean,G737,0.026816007400440434,0.6304320663868632
NaCa_mean,T_mean,G753,0.36437991676141046,0.0646226132312679
NaCa_mean,T_mean,G767,3.215181924032251e-07,0.9986045856818206
NaCa_mean,T_mean,G770,0.03117676898025845,0.5830371205245275
NaCa_mean,T_mean,G779,0.5659069758195214,0.012067264136103107
NaCa_mean,T_mean,G781,0.4096000516195487,0.01017685834614756
NaCa_mean,S_mean,B255,0.4007324529218672,0.020213177881490418
NaCa_mean,S_mean,B323,0.21023621612196042,0.11505854112849521
NaCa_mean,S_mean,B325,0.11699696854102215,0.25264907111697615
NaCa_mean,S_mean,G652,0.09103786176350182,0.31640412492244047
NaCa_mean,S_mean,G664,0.24871478330564145,0.09886008701700011
NaCa_mean,S_mean,G668,0.001569095561067324,0.8930494872592236
NaCa_mean,S_mean,G691,0.1303267994037145,0.27537680280378185
NaCa_mean,S_mean,G717,0.3043967693483691,0.05061409413693448
NaCa_mean,S_mean,G719,0.16207939361867219,0.19445859087887257
NaCa_mean,S_mean,G723,0.44614354678886603,0.012593593638185166
NaCa_mean,S_mean,G728,0.40201404301746835,0.01488814457661192
NaCa_mean,S_mean,G730,0.23567163684956927,0.10961920675244675
NaCa_mean,S_mean,G732,0.026996767174643055,0.5916866537549694
NaCa_mean,S_mean,G737,0.44714438181254335,0.024474391303435008
