response,predictor,specimen,r2,p
NaCa_mean,T_mean,B255,0.5740731042583648,0.0010672687402843147
NaCa_mean,T_mean,B323,0.1829607384746722,0.11173139668121664
NaCa_mean,T_mean,B325,0.48466520599614527,0.003939532319003136
NaCa_mean,T_mean,G652,0.0053457179131570776,0.795673493129514
NaCa_mean,T_mean,G664,0.0615223862912766,0.37274178942509806
NaCa_mean,T_mean,G668,0.25465018106242043,0.055059585208475155
NaCa_mean,T_mean,G691,0.005670223560876875,0.7896877121337633
NaCa_mean,T_mean,G717,0.18075873743765813,0.11414712744941068
NaCa_mean,T_mean,G719,0.039318460746782025,0.47867943001150004
NaCa_mean,T_mean,G723,0.29334878024140176,0.03703759585892341
NaCa_mean,T_mean,G728,0.08009526155625057,0.3067341640406319
NaCa_mean,T_mean,G730,0.13877535603875546,0.17148492271500287
NaCa_mean,T_mean,G732,0.000122154396998031,0.9688164613316183
NaCa_mean,T_mean,G737,0.013885476635836946,0.6757650738018302
NaCa_mean,T_mean,G753,0.07923088123345556,0.3296035407314364
NaCa_mean,T_mean,G767,0.1444974437546278,0.16222161379757985
NaCa_mean,T_mean,G770,0.041124056924970676,0.4685424301056841
NaCa_mean,T_mean,G779,0.0860078656496619,0.28875898743223705
NaCa_mean,T_mean,G781,0.4259472776801557,0.00835296337907755
NaCa_mean,S_mean,B255,0.498498972141605,0.00326451713473391
NaCa_mean,S_mean,B323,0.015545200725274433,0.6579629674311906
NaCa_mean,S_mean,B325,0.2434136324619326,0.061638538448956184
NaCa_mean,S_mean,G652,0.009562784253434709,0.7288072737533458
NaCa_mean,S_mean,G664,0.0017084658297045197,0.8837181414471114
NaCa_mean,S_mean,G668,0.17852704454522295,0.11664742958420977
NaCa_mean,S_mean,G691,0.0012802013353002684,0.899263119318161
NaCa_mean,S_mean,G717,0.09075871280558934,0.27520175999637525
NaCa_mean,S_mean,G719,0.1450608701924816,0.16133761132208407
NaCa_mean,S_mean,G723,0.1658662573121188,0.13188360799866636
NaCa_mean,S_mean,G728,0.022236520989535213,0.5958252019303261
NaCa_mean,S_mean,G730,0.03412433876457355,0.5098386959857983
NaCa_mean,S_mean,G732,0.05853766918883763,0.38497210565359896
NaCa_mean,S_mean,G737,0.019038567409988882,0.6238570714082482
NaCa_mean,S_mean,G753,0.0032762825898096093,0.8458954902412821
NaCa_mean,S_mean,G767,0.013457379215950915,0.6805547637213373
NaCa_mean,S_mean,G770,0.0007682725239589461,0.921888630782274
NaCa_mean,S_mean,G779,0.046743910825484014,0.43897190925354035
NaCa_mean,S_mean,G781,0.11346515997750084,0.21956102354781762
NaCa_mean,Chl_mean,B255,0.3904062024099546,0.012759891639663023
NaCa_mean,Chl_mean,B323,0.05648608133523325,0.3936876388195585
NaCa_mean,Chl_mean,B325,0.06091822268546854,0.37517593946374694
NaCa_mean,Chl_mean,G652,0.23246339729278298,0.06874840219566258
NaCa_mean,Chl_mean,G664,0.2611629903731959,0.051550752735479315
NaCa_mean,Chl_mean,G668,0.11642354890244,0.21327015980953196
NaCa_mean,Chl_mean,G691,0.04638311248933824,0.4407869470147978
NaCa_mean,Chl_mean,G717,0.03458384004835502,0.5069524239854444
NaCa_mean,Chl_mean,G719,0.23492947683337273,0.06708332905764407
NaCa_mean,Chl_mean,G723,0.24762722257438052,0.05909032824098136
NaCa_mean,Chl_mean,G728,0.050093917014982,0.4226179506195723
NaCa_mean,Chl_mean,G730,0.051109434952781196,0.41783035014189385
NaCa_mean,Chl_mean,G732,0.009943304734115532,0.7236554903514045
NaCa_mean,Chl_mean,G737,0.021464604312250612,0.6023508832462354
