specimen,element,combined_std_dev
B255_int,23Na/43Ca,0.3183810882440028
B255_int,25Mg/43Ca,0.010585612465447498
B255_int,55Mn/43Ca,9.832290935225039e-05
B255_int,88Sr/43Ca,0.03685572550753583
B255_int,138Ba/43Ca,5.290951858113635e-05
B323_int,23Na/43Ca,0.530184010874454
B323_int,25Mg/43Ca,0.09063034281011026
B323_int,55Mn/43Ca,0.000706524688097312
B323_int,88Sr/43Ca,0.037834454774988265
B323_int,138Ba/43Ca,0.00014044481554913735
B325_int,23Na/43Ca,0.23111170651242766
B325_int,25Mg/43Ca,0.042046074006684
B325_int,55Mn/43Ca,0.00020616245318325586
B325_int,88Sr/43Ca,0.03111931835133168
B325_int,138Ba/43Ca,8.583227483971894e-05
G652_sub,23Na/43Ca,0.371892864739816
G652_sub,25Mg/43Ca,0.021212538589958196
G652_sub,55Mn/43Ca,0.00042659464410161853
G652_sub,88Sr/43Ca,0.0496653079499301
G652_sub,138Ba/43Ca,0.0001781494678228748
G664_sub,23Na/43Ca,0.32592350238664897
G664_sub,25Mg/43Ca,0.272455485438468
G664_sub,55Mn/43Ca,0.0009793077972093678
G664_sub,88Sr/43Ca,0.02467368848989282
G664_sub,138Ba/43Ca,0.0003142775577891022
G668_sub,23Na/43Ca,0.3144229304301258
G668_sub,25Mg/43Ca,0.01183283565401163
G668_sub,55Mn/43Ca,0.0001978169003558084
G668_sub,88Sr/43Ca,0.023787776620628413
G668_sub,138Ba/43Ca,7.994125260457062e-05
G691_int,23Na/43Ca,0.27369150814259213
G691_int,25Mg/43Ca,0.01145808241528085
G691_int,55Mn/43Ca,0.00020218627920953332
G691_int,88Sr/43Ca,0.02187743597584932
G691_int,138Ba/43Ca,4.895697479843863e-05
G717_sub,23Na/43Ca,0.29904182381201977
G717_sub,25Mg/43Ca,0.03042393859420846
G717_sub,55Mn/43Ca,0.0002209488797002842
G717_sub,88Sr/43Ca,0.062278324792392335
G717_sub,138Ba/43Ca,9.145663137764946e-05
G719_int,23Na/43Ca,1.3430500658381328
G719_int,25Mg/43Ca,0.018131468113453453
G719_int,55Mn/43Ca,0.00035252672556520355
G719_int,88Sr/43Ca,0.03924256868778414
G719_int,138Ba/43Ca,0.00010269329781209434
G723_sub,23Na/43Ca,0.548404458657608
G723_sub,25Mg/43Ca,0.02922634060140362
G723_sub,55Mn/43Ca,0.0006213158759662685
G723_sub,88Sr/43Ca,0.03841818659962006
G723_sub,138Ba/43Ca,6.490320291796638e-05
G728_int,23Na/43Ca,0.40051285554272176
G728_int,25Mg/43Ca,0.01317000103155614
G728_int,55Mn/43Ca,0.0003380756158522744
G728_int,88Sr/43Ca,0.019564870446187224
G728_int,138Ba/43Ca,5.966765486135674e-05
G730_sub,23Na/43Ca,0.30747746304331663
G730_sub,25Mg/43Ca,0.024175063009326942
G730_sub,55Mn/43Ca,0.0004023498067146598
G730_sub,88Sr/43Ca,0.04800539130539868
G730_sub,138Ba/43Ca,9.62424708209752e-05
G732_sub,23Na/43Ca,0.33233604930298855
G732_sub,25Mg/43Ca,0.022782395723262804
G732_sub,55Mn/43Ca,0.0001662976272243336
G732_sub,88Sr/43Ca,0.041467551935299225
G732_sub,138Ba/43Ca,0.00011239353438666871
G737_sub,23Na/43Ca,1.3620988982095596
G737_sub,25Mg/43Ca,0.9407000777640719
G737_sub,55Mn/43Ca,0.06272254720954319
G737_sub,88Sr/43Ca,0.03412973431464466
G737_sub,138Ba/43Ca,0.0007805475442800758
G753_sub,23Na/43Ca,0.1668624400839728
G753_sub,25Mg/43Ca,0.010556502070036092
G753_sub,55Mn/43Ca,0.000353240943976982
G753_sub,88Sr/43Ca,0.015245142175934494
G753_sub,138Ba/43Ca,4.179416708567325e-05
G767_sub,23Na/43Ca,0.3482100764138006
G767_sub,25Mg/43Ca,0.010593405959083268
G767_sub,55Mn/43Ca,0.00020328043609510503
G767_sub,88Sr/43Ca,0.03335141129104633
G767_sub,138Ba/43Ca,9.353391470652174e-05
G770_sub,23Na/43Ca,0.44170238501979053
G770_sub,25Mg/43Ca,0.056330654671084425
G770_sub,55Mn/43Ca,0.010644325481664779
G770_sub,88Sr/43Ca,0.0417062796030374
G770_sub,138Ba/43Ca,0.000263720969390762
G779_int,23Na/43Ca,0.23635805436517476
G779_int,25Mg/43Ca,0.011868249038434323
G779_int,55Mn/43Ca,0.000187227334140655
G779_int,88Sr/43Ca,0.02157661983149456
G779_int,138Ba/43Ca,9.361431279790753e-05
G781_sub,23Na/43Ca,1.292168939718481
G781_sub,25Mg/43Ca,0.03460287344118753
G781_sub,55Mn/43Ca,0.0001679037448464046
G781_sub,88Sr/43Ca,0.049774476884097814
G781_sub,138Ba/43Ca,0.00012598193159915334
