NIOZ jetty LON=4.789E   LAT=53.002N , depth of sensors -1.5 meter NAP.												
Intervals of 60 minutes 													
TM = YYYYMMDDHHmm (YYYY=year, MM=month, DD=day, HH=hour, mm=minute) in UTC													
ET = excel decimal time 													
T = median value of temperature from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)													
T_std = standard deviation of temperature within the interval 													
T_N = number of data points for temperature within the interval 													
T_max = maximum temperature within the interval 													
T_min = minimum temperature within the interval 													
T_flag = quality flag 													
S = median value of salinity from centered intervals (e.g. value at 10:00 is median from 9:30-10:30)													
S_std = standard deviation of salinity within the interval 													
S_N = number of data points for salinity within the interval 													
S_max = maximum salinity within the interval 													
S_min = minimum salinity within the interval 													
S_flag = quality flag 													
Quality flags:  -1=No flag available, 0=uncalibrated data, 1=OK, 1-2 : includes corrected data, 4-5 : includes missing data, fraction indicates how much missing or corrected data was incorporated (low end: none, high end: all), 9=missing 
Temperature in [degrees Celsius], Salinity in [PSU]												
													
TM 	ET 	T 	T_std 	T_N 	T_max 	T_min 	T_flag 	S 	S_std 	S_N 	S_max 	S_min 	S_flag 
202201010100	44562.04167	6.562	0.105	6	6.677	6.438	1	28.145	0.288	6	28.435	27.795	1
202201010200	44562.08333	6.676	0.059	6	6.805	6.646	1	28.465	0.224	6	29.005	28.415	1
202201010300	44562.125	6.982	0.05	6	7.031	6.906	1	29.395	0.121	6	29.505	29.225	1
202201010400	44562.16667	7.008	0.073	6	7.183	6.991	1	29.385	0.208	6	29.875	29.335	1
202201010500	44562.20833	7.141	0.093	6	7.244	7.024	1	29.67	0.305	6	30.065	29.315	1
202201010600	44562.25	7.319	0.113	6	7.398	7.085	1	30.13	0.274	6	30.275	29.555	1
202201010700	44562.29167	7.431	0.03	6	7.468	7.394	1	30.325	0.048	6	30.375	30.255	1
202201010800	44562.33333	7.433	0.029	6	7.45	7.375	1	30.28	0.099	6	30.345	30.085	1
202201010900	44562.375	7.329	0.036	6	7.372	7.275	1	29.545	0.286	6	29.985	29.295	1
202201011000	44562.41667	7.162	0.038	6	7.244	7.134	1	28.82	0.235	6	29.375	28.755	1
202201011100	44562.45833	7.14	0.099	6	7.207	6.978	1	28.81	0.164	6	28.915	28.485	1
202201011200	44562.5	7.079	0.1	6	7.291	7.003	1	28.465	0.166	6	28.745	28.285	1
202201011300	44562.54167	6.681	0.143	6	6.92	6.511	1	27.535	0.341	6	28.185	27.225	1
202201011400	44562.58333	6.626	0.041	6	6.678	6.564	1	27.59	0.162	6	27.745	27.305	1
202201011500	44562.625	6.72	0.093	6	6.917	6.661	1	27.655	0.23	6	28.195	27.595	1
202201011600	44562.66667	6.922	0.066	6	7.082	6.912	1	27.995	0.173	6	28.405	27.955	1
202201011700	44562.70833	7.049	0.02	6	7.062	7.009	1	28.32	0.107	6	28.435	28.185	1
202201011800	44562.75	7.101	0.014	6	7.117	7.086	1	28.57	0.099	6	28.755	28.505	1
202201011900	44562.79167	7.162	0.025	6	7.187	7.113	1	28.745	0.061	6	28.845	28.685	1
202201012000	44562.83333	7.292	0.074	6	7.354	7.177	1	29.45	0.371	6	29.575	28.795	1
202201012100	44562.875	7.377	0.004	6	7.378	7.369	1	29.675	0.06	6	29.735	29.595	1
202201012200	44562.91667	7.486	0.057	6	7.515	7.363	1	28.59	0.415	6	29.395	28.335	1
202201012300	44562.95833	7.571	0.049	6	7.656	7.535	1	28.25	0.08	6	28.345	28.125	1
202201020000	44563	7.739	0.295	6	7.758	7.022	1	28.05	0.146	6	28.255	27.825	1
202201020100	44563.04167	6.873	0.083	6	6.905	6.728	1	27.49	0.212	6	27.605	27.085	1
202201020200	44563.08333	6.668	0.047	6	6.721	6.604	1	27.18	0.176	6	27.315	26.935	1
202201020300	44563.125	6.731	0.117	6	6.987	6.686	1	27.34	0.487	6	28.455	27.305	1
202201020400	44563.16667	7.023	0.012	6	7.029	6.996	1	28.525	0.032	6	28.595	28.505	1
202201020500	44563.20833	7.28	0.109	6	7.325	7.039	1	29.425	0.297	6	29.495	28.725	1
202201020600	44563.25	7.431	0.065	6	7.512	7.354	1	29.755	0.151	6	29.915	29.565	1
202201020700	44563.29167	7.54	0.068	6	7.669	7.509	1	30.02	0.185	6	30.325	29.895	1
202201020800	44563.33333	7.642	0.025	6	7.682	7.607	1	30.185	0.083	6	30.315	30.085	1
202201020900	44563.375	7.68	0.027	6	7.699	7.625	1	30.26	0.129	6	30.355	29.985	1
202201021000	44563.41667	7.601	0.025	6	7.641	7.569	1	29.5	0.267	6	29.715	29.035	1
202201021100	44563.45833	7.579	0.024	6	7.602	7.529	1	28.84	0.146	6	29.015	28.625	1
202201021200	44563.5	7.691	0.043	6	7.73	7.607	1	28.985	0.161	6	29.215	28.775	1
202201021300	44563.54167	7.73	0.046	6	7.751	7.626	1	29.18	0.121	6	29.355	29.055	1
202201021400	44563.58333	7.476	0.048	6	7.55	7.418	1	29.35	0.058	6	29.435	29.265	1
202201021500	44563.625	7.546	0.024	6	7.598	7.535	1	29.57	0.121	6	29.855	29.535	1
202201021600	44563.66667	7.649	0.007	6	7.662	7.641	1	29.885	0.055	6	29.935	29.795	1
202201021700	44563.70833	7.644	0.005	6	7.648	7.636	1	29.8	0.062	6	29.885	29.715	1
202201021800	44563.75	7.675	0.013	6	7.682	7.651	1	29.875	0.039	6	29.885	29.785	1
202201021900	44563.79167	7.686	0.015	6	7.709	7.676	1	29.935	0.096	6	30.085	29.855	1
202201022000	44563.83333	7.732	0.008	6	7.742	7.718	1	30.165	0.035	6	30.205	30.105	1
202201022100	44563.875	7.746	0.004	6	7.754	7.743	1	30.35	0.05	6	30.395	30.255	1
202201022200	44563.91667	7.732	0.008	6	7.747	7.726	1	30.31	0.026	6	30.355	30.275	1
202201022300	44563.95833	7.713	0.006	6	7.717	7.701	1	29.94	0.248	6	30.205	29.585	1
202201030000	44564	7.703	0.012	6	7.708	7.68	1	29.205	0.129	6	29.495	29.165	1
202201030100	44564.04167	7.645	0.021	6	7.675	7.62	1	29.08	0.183	6	29.455	28.965	1
202201030200	44564.08333	7.357	0.11	6	7.525	7.257	1	29.01	0.259	6	29.365	28.775	1
202201030300	44564.125	7.357	0.03	6	7.364	7.291	1	29.15	0.12	6	29.195	28.895	1
202201030400	44564.16667	7.558	0.08	6	7.578	7.366	1	29.815	0.257	6	29.905	29.215	1
202201030500	44564.20833	7.53	0.023	6	7.552	7.498	1	29.735	0.078	6	29.815	29.645	1
202201030600	44564.25	7.581	0.009	6	7.588	7.565	1	29.95	0.05	6	29.995	29.875	1
202201030700	44564.29167	7.576	0.004	6	7.582	7.57	1	29.895	0.032	6	29.945	29.875	1
202201030800	44564.33333	7.578	0.005	6	7.585	7.569	1	29.93	0.021	6	29.945	29.885	1
202201030900	44564.375	7.676	0.031	6	7.68	7.6	1	30.34	0.124	6	30.375	30.045	1
202201031000	44564.41667	7.68	0.007	6	7.69	7.672	1	30.305	0.047	6	30.375	30.265	1
202201031100	44564.45833	7.609	0.039	6	7.664	7.562	1	29.825	0.199	6	30.175	29.675	1
202201031200	44564.5	7.588	0.034	6	7.622	7.544	1	29.665	0.142	6	29.805	29.485	1
202201031300	44564.54167	7.575	0.022	6	7.61	7.558	1	29.495	0.049	6	29.565	29.445	1
202201031400	44564.58333	7.613	0.048	6	7.667	7.55	1	29.585	0.076	6	29.695	29.505	1
202201031500	44564.625	7.401	0.06	6	7.524	7.356	1	29.16	0.157	6	29.455	29.005	1
202201031600	44564.66667	7.438	0.029	6	7.464	7.397	1	29.29	0.095	6	29.415	29.185	1
202201031700	44564.70833	7.596	0.021	6	7.601	7.547	1	29.88	0.081	6	29.935	29.705	1
202201031800	44564.75	7.607	0.015	6	7.629	7.589	1	29.93	0.045	6	30.015	29.905	1
202201031900	44564.79167	7.642	0.032	6	7.689	7.598	1	30.1	0.122	6	30.245	29.895	1
202201032000	44564.83333	7.682	0.027	6	7.731	7.652	1	30.21	0.097	6	30.385	30.105	1
202201032100	44564.875	7.739	0.02	6	7.75	7.694	1	30.475	0.061	6	30.505	30.335	1
202201032200	44564.91667	7.742	0.007	6	7.749	7.73	1	30.495	0.01	6	30.505	30.475	1
202201032300	44564.95833	7.699	0.018	6	7.712	7.665	1	30.4	0.061	6	30.455	30.285	1
202201040000	44565	7.566	0.05	6	7.655	7.525	1	29.9	0.161	6	30.235	29.815	1
202201040100	44565.04167	7.481	0.022	6	7.51	7.461	1	29.745	0.038	6	29.815	29.725	1
202201040200	44565.08333	7.387	0.04	6	7.45	7.333	1	29.515	0.231	6	29.705	29.125	1
202201040300	44565.125	7.233	0.073	6	7.302	7.113	1	28.77	0.354	6	28.995	28.165	1
202201040400	44565.16667	7.188	0.044	6	7.23	7.134	1	28.505	0.184	6	28.665	28.255	1
202201040500	44565.20833	7.366	0.107	6	7.499	7.235	1	29.235	0.423	6	29.725	28.675	1
202201040600	44565.25	7.505	0.02	6	7.54	7.493	1	29.745	0.072	6	29.865	29.695	1
202201040700	44565.29167	7.582	0.054	6	7.648	7.537	1	30.06	0.25	6	30.365	29.865	1
202201040800	44565.33333	7.663	0.013	6	7.679	7.648	1	30.41	0.061	6	30.475	30.335	1
202201040900	44565.375	7.66	0.006	6	7.671	7.654	1	30.42	0.018	6	30.455	30.415	1
202201041000	44565.41667	7.665	0.011	6	7.67	7.646	1	30.44	0.036	6	30.465	30.375	1
202201041100	44565.45833	7.658	0.007	6	7.669	7.649	1	30.39	0.023	6	30.435	30.375	1
202201041200	44565.5	7.65	0.007	6	7.654	7.638	1	30.36	0.016	6	30.375	30.335	1
202201041300	44565.54167	7.577	0.058	6	7.639	7.478	1	30.11	0.3	6	30.265	29.525	1
202201041400	44565.58333	7.377	0.055	6	7.422	7.307	1	29.25	0.149	6	29.385	29.055	1
202201041500	44565.625	7.213	0.027	6	7.231	7.158	1	28.705	0.12	6	28.825	28.495	1
202201041600	44565.66667	7.17	0.031	6	7.194	7.118	1	28.47	0.157	6	28.575	28.185	1
202201041700	44565.70833	7.329	0.081	6	7.383	7.212	1	29.36	0.427	6	29.635	28.705	1
202201041800	44565.75	7.37	0.012	6	7.383	7.352	1	29.645	0.083	6	29.725	29.555	1
202201041900	44565.79167	7.582	0.041	6	7.593	7.485	1	30.705	0.242	6	30.785	30.155	1
202201042000	44565.83333	7.598	0.01	6	7.605	7.579	1	30.825	0.023	6	30.845	30.785	1
202201042100	44565.875	7.542	0.028	6	7.586	7.52	1	30.74	0.064	6	30.795	30.625	1
202201042200	44565.91667	7.517	0	1	7.517	7.517	1	30.585	0	1	30.585	30.585	1
202201042300	44565.95833	    NaN 	    NaN 	    NaN 	    NaN 	    NaN 	9	    NaN 	    NaN 	    NaN 	    NaN 	    NaN 	9
202201050000	44566	    NaN 	    NaN 	    NaN 	    NaN 	    NaN 	9	    NaN 	    NaN 	    NaN 	    NaN 	    NaN 	9
