Specimen,Spike 1,Spike 2,Spike 3,Spike 4,Spike 5,Spike 6,Spike 7
B255,15,13,10,8,6,4,2
B323,14,13,11,9,6,4,2
B325,12,11,10,7,6,3,2
G652,24,21,16,13,8,5,2
G664,24,22,14,11,7,5,2
G668,18,14,11,8,6,4,2
G691,18,14,8,7,6,4,3
G717,26,16,13,10,8,7,5
G719,19,17,12,10,7,5,3
G723,20,15,12,9,7,5,1
G728,22,20,15,12,9,6,2
G730,16,11,8,5,4,3,1
G732,23,17,14,10,7,5,3
G737,20,18,15,12,8,5,2
G753,18,14,11,6,3,2,1
G767,19,12,9,6,4,3,1
G770,18,14,12,7,5,4,1
G779,24,22,16,11,9,7,5
G781,18,13,11,10,9,6,2
,,,,,,,
,,,,,,,
,,,,,,,
